project_id,dimension,dimension_value,count,within_project_share
422821402,target_entity_type,Repo,648,0.0993103448275862
422821402,target_entity_type,Tag,1,0.0001532567049808429
449924556,target_entity_type,Branch_Tag_GHDir,5,0.0017869907076483202
449924556,target_entity_type,Commit,584,0.2087205146533238
449924556,target_entity_type,GitHub_Files_FileChanges,16,0.005718370264474625
449924556,target_entity_type,GitHub_GenSer_Other_Links,103,0.0368120085775554
449924556,target_entity_type,Issue,165,0.05897069335239457
449924556,target_entity_type,PullRequest,1000,0.35739814152966404
449924556,target_entity_type,Release,448,0.1601143674052895
449924556,target_entity_type,Repo,465,0.16619013581129377
449924556,target_entity_type,Tag,12,0.004288777698355968
453068084,target_entity_type,Branch,10,0.00012879792892930283
453068084,target_entity_type,Branch_Tag_GHDir,190,0.0024471606496567536
453068084,target_entity_type,Commit,898,0.011566054017851393
453068084,target_entity_type,GitHub_Files_FileChanges,3900,0.050231192282428096
453068084,target_entity_type,GitHub_GenSer_Other_Links,1019,0.013124508957895957
453068084,target_entity_type,Issue,7691,0.0990584871395268
453068084,target_entity_type,IssueComment,520,0.006697492304323746
453068084,target_entity_type,PullRequest,62312,0.8025656547442717
453068084,target_entity_type,PullRequestReview,12,0.00015455751471516339
453068084,target_entity_type,PullRequestReviewComment,175,0.0022539637562627992
453068084,target_entity_type,Release,2,2.5759585785860562e-05
453068084,target_entity_type,Repo,912,0.011746371118352417
462329984,target_entity_type,Branch,1,0.0004570383912248629
462329984,target_entity_type,Commit,91,0.041590493601462525
462329984,target_entity_type,GitHub_Files_FileChanges,11,0.005027422303473492
462329984,target_entity_type,GitHub_GenSer_Other_Links,36,0.016453382084095063
462329984,target_entity_type,Issue,664,0.30347349177330896
462329984,target_entity_type,PullRequest,1362,0.6224862888482633
462329984,target_entity_type,PullRequestReviewComment,5,0.0022851919561243145
462329984,target_entity_type,Repo,11,0.005027422303473492
462329984,target_entity_type,Tag,7,0.0031992687385740404
48833910,target_entity_type,Branch,5,0.00041363335539377897
48833910,target_entity_type,Branch_Tag_GHDir,5,0.00041363335539377897
48833910,target_entity_type,Commit,1162,0.09612839179351423
48833910,target_entity_type,GitHub_Files_FileChanges,3677,0.30418596955658506
48833910,target_entity_type,GitHub_GenSer_Other_Links,574,0.04748510919920582
48833910,target_entity_type,Gollum,4,0.00033090668431502316
48833910,target_entity_type,Issue,2565,0.2121939113170086
48833910,target_entity_type,IssueComment,440,0.036399735274652546
48833910,target_entity_type,PullRequest,3454,0.2857379219060225
48833910,target_entity_type,PullRequestReview,133,0.01100264725347452
48833910,target_entity_type,PullRequestReviewComment,15,0.001240900066181337
48833910,target_entity_type,Release,1,8.272667107875579e-05
48833910,target_entity_type,Repo,53,0.004384513567174057
496817075,target_entity_type,Branch_Tag_GHDir,6,0.0009312432096849294
496817075,target_entity_type,Commit,156,0.024212323451808165
496817075,target_entity_type,GitHub_Files_FileChanges,273,0.042371566040664284
496817075,target_entity_type,GitHub_GenSer_Other_Links,510,0.079155672823219
496817075,target_entity_type,Issue,1257,0.1950954524289927
496817075,target_entity_type,IssueComment,13,0.002017693620984014
496817075,target_entity_type,PullRequest,3618,0.5615396554400124
