project_id,repo_name,out_degree,out_strength,seed_to_seed_relation_count,seed_to_seed_weight,seed_to_expanded_relation_count,seed_to_expanded_weight,target_diversity,source_concentration_hhi,top_target_weight_share
48451041,blazegraph/database,0,0,0,0,0,0,0,0.0,0.0
5453989,jankotek/mapdb,0,0,0,0,0,0,0,0.0,0.0
587246478,endatabas/endb,0,0,0,0,0,0,0,0.0,0.0
5912693,ncannasse/castle,0,0,0,0,0,0,0,0.0,0.0
61269853,vanilladb/vanillacore,0,0,0,0,0,0,0,0.0,0.0
632269609,kagisearch/vectordb,0,0,0,0,0,0,0,0.0,0.0
63731386,tidwall/buntdb,0,0,0,0,0,0,0,0.0,0.0
642912355,awa-ai/awadb,0,0,0,0,0,0,0,0.0,0.0
65259211,xap/xap,0,0,0,0,0,0,0,0.0,0.0
664133375,epsilla-cloud/vectordb,0,0,0,0,0,0,0,0.0,0.0
681142,Bobris/BTDB,0,0,0,0,0,0,0,0.0,0.0
722117815,cursusdb/cursusdb,0,0,0,0,0,0,0,0.0,0.0
85236158,lambdazen/bitsy,0,0,0,0,0,0,0,0.0,0.0
