seed_order,seed_repo_id,seed_repo_name,filename,aggregate_rows_v1,aggregate_rows_v2,aggregate_core_no_drift,source_aggregate_drift_rows,target_aggregate_drift_rows,relation_type_drift_rows,reference_multiplicity_drift,aggregate_join_statuses,admitted_rows,rejected_rows,expected_source_context_repo_id
131,323389945,logicalclocks/rondb,logicalclocks_rondb_2023.csv,396,396,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 396}",396,0,323389945
132,198466472,terminusdb/terminusdb,terminusdb_terminusdb_2023.csv,1878,1878,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 1878}",1878,0,198466472
133,23247808,rqlite/rqlite,rqlite_rqlite_2023.csv,1170,1170,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 1170}",1170,0,23247808
134,80087836,dgraph-io/badger,dgraph-io_badger_2023.csv,1358,1358,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 1358}",1358,0,80087836
135,50594316,senx/warp10-platform,senx_warp10-platform_2023.csv,179,179,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 179}",179,0,50594316
136,150013328,cberner/redb,cberner_redb_2023.csv,275,275,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 275}",275,0,150013328
137,714074,pouchdb/pouchdb,pouchdb_pouchdb_2023.csv,713,713,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 713}",713,0,714074
138,9595928,mirage/irmin,mirage_irmin_2023.csv,914,914,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 914}",914,0,9595928
139,543276238,libsql/libsql,libsql_libsql_2023.csv,954,954,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 954}",954,0,543276238
140,510375115,splitgraph/seafowl,splitgraph_seafowl_2023.csv,1463,1463,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 1463}",1463,0,510375115
141,168712350,Snapchat/KeyDB,Snapchat_KeyDB_2023.csv,825,825,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 825}",825,0,168712350
142,25780780,AlaSQL/alasql,AlaSQL_alasql_2023.csv,11798,11798,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 11798}",11798,0,25780780
143,511030127,ceramicstudio/js-composedb,ceramicstudio_js-composedb_2023.csv,521,521,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 521}",521,0,511030127
144,5683653,apache/drill,apache_drill_2023.csv,518,518,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 518}",518,0,5683653
145,4604367,sirixdb/sirix,sirixdb_sirix_2023.csv,703,703,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 703}",703,0,4604367
