project_id,repo_name,category_label,total_reference_records,self_reference_records,external_project_reference_records,non_project_reference_records,unresolved_target_reference_records,self_reference_ratio,external_reference_share,non_project_reference_share,active_issue_pr_count,comment_related_unique_source_count,comment_body_ref_count,comment_per_issue,comment_reference_density,project_age_years_at_2023_end,out_degree,out_strength,seed_to_seed_relation_count,seed_to_seed_weight,seed_to_expanded_relation_count,seed_to_expanded_weight,target_diversity,source_concentration_hhi,top_target_weight_share,in_degree,in_strength,target_coverage,undirected_degree,undirected_strength,local_clustering,betweenness_brokerage,in_lcc
196353673,taosdata/TDengine,"Relational,Time Series",40031,24021,46,1925,14039,0.6000599535360096,0.3999400464639904,0.048087732007694,680,1004,1870,1.4764705882352942,1.8625498007968129,4.470910335386721,20,46,0,0,20,46,20,0.16351606805293006,0.3695652173913043,0.0,0.0,0.0,20.0,46.0,0.0,0.006285043391135535,True
84240850,timescale/timescaledb,Time Series,14662,5559,675,5715,2713,0.3791433637975719,0.620856636202428,0.3897831128086209,1253,3109,9532,2.481245011971269,3.065937600514635,6.8145106091718,32,675,1,39,31,636,32,0.7396543209876544,0.8577777777777778,1.0,1.0,0.003401360544217687,33.0,676.0,0.007575757575757576,0.011883549288824147,True
9342529,crate/crate,Document,9375,5387,888,2461,639,0.5746133333333333,0.4253866666666667,0.2625066666666666,1203,2132,4354,1.772236076475478,2.0422138836772983,10.72142368240931,61,888,8,636,53,252,61,0.43588182777371964,0.6554054054054054,1.0,1.0,0.003401360544217687,62.0,889.0,0.01956636700158646,0.021168932743584435,True
150954997,VictoriaMetrics/VictoriaMetrics,"Wide column,Time Series",31402,13370,621,14403,3008,0.4257690592955863,0.5742309407044137,0.458665053181326,1839,5149,13091,2.7998912452419797,2.5424354243542435,5.248459958932238,116,621,5,69,111,552,116,0.03707334023094018,0.10144927536231885,4.0,6.0,0.013605442176870748,119.0,627.0,0.01167924797037459,0.028379070816151583,True
268163609,qdrant/qdrant,Vector,18934,7906,5013,2307,3708,0.4175557198690187,0.5824442801309813,0.121844301256998,1282,2524,4595,1.968798751950078,1.8205229793977813,3.583846680355921,177,5013,6,14,171,4999,177,0.035412296670189525,0.13085976461200877,2.0,2.0,0.006802721088435374,179.0,5015.0,0.004393948904651309,0.04323195499908426,True
6934395,facebook/rocksdb,Key-value,11174,3170,133,3881,3990,0.2836942903168069,0.7163057096831932,0.3473241453373903,1109,4666,8086,4.207394048692516,1.732961851693099,11.080082135523616,44,133,2,5,42,128,44,0.12996777658431796,0.3383458646616541,23.0,642.0,0.0782312925170068,66.0,775.0,0.020046620046620046,0.0383454410557775,True
20089857,apache/hbase,Wide column,41966,12443,269,24372,4882,0.2965019301339179,0.7034980698660821,0.5807558499737883,659,5893,37119,8.942336874051593,6.298829119294077,9.604380561259411,21,269,0,0,21,269,21,0.2678376473514739,0.4795539033457249,4.0,11.0,0.013605442176870748,25.0,280.0,0.03333333333333333,0.004537830586623355,True
546206616,chroma-core/chroma,"Document,Vector",8163,3754,767,1095,2547,0.4598799460982481,0.5401200539017518,0.1341418596104373,1123,3017,4339,2.6865538735529837,1.438183626118661,1.2347707049965777,86,767,3,6,83,761,86,0.46768680019514236,0.681877444589309,0.0,0.0,0.0,86.0,767.0,0.0027359781121751026,0.024849929295565218,True
341631350,apache/lucene,Document,5839,2782,320,766,1971,0.4764514471656105,0.5235485528343895,0.1311868470628532,843,2769,4499,3.284697508896797,1.6247742867461177,2.847364818617385,92,320,6,42,86,278,92,0.045390625000000004,0.128125,6.0,360.0,0.02040816326530612,95.0,680.0,0.008734602463605823,0.023089490890088358,True
6838921,prometheus/prometheus,"Key-value,Time Series",10684,3415,1280,2853,3136,0.319636840134781,0.680363159865219,0.2670348184200674,1404,3046,5503,2.1695156695156697,1.8066316480630336,11.096509240246409,183,1280,5,33,178,1247,183,0.021975097656249998,0.06171875,8.0,428.0,0.027210884353741496,188.0,1708.0,0.006656047331892138,0.07078213259089192,True
