source_project_id,target_project_id,weight,multiplicity,is_self_loop,source_is_seed,target_is_seed
11695619,27721932,33,33,False,True,False
11695619,27954927,35,35,False,True,False
11695619,283187,4,4,False,True,False
11695619,288485773,10,10,False,True,False
11695619,29102367,55,55,False,True,False
11695619,298223290,7,7,False,True,False
11695619,298328,10,10,False,True,False
11695619,29923817,3,3,False,True,False
11695619,3037907,2,2,False,True,False
11695619,304398999,1,1,False,True,False
11695619,316556151,5,5,False,True,False
11695619,32812675,9,9,False,True,False
11695619,33745913,9,9,False,True,True
11695619,347111615,1,1,False,True,False
11695619,35437397,7,7,False,True,False
11695619,35698342,5,5,False,True,False
11695619,35700771,25,25,False,True,False
11695619,35701030,3,3,False,True,False
11695619,387486196,3,3,False,True,False
11695619,387486323,3,3,False,True,False
11695619,43560507,1,1,False,True,False
11695619,443833295,1,1,False,True,False
11695619,46052837,4,4,False,True,False
11695619,4624165,10,10,False,True,False
11695619,4950187,16,16,False,True,False
11695619,499899955,1,1,False,True,False
11695619,53728068,3,3,False,True,False
11695619,5663857,82,82,False,True,False
11695619,567634,12,12,False,True,False
11695619,60111626,38,38,False,True,False
11695619,607407059,1,1,False,True,False
11695619,64172663,7,7,False,True,False
11695619,6818061,6,6,False,True,False
11695619,711118881,2,2,False,True,False
11695619,722682,2,2,False,True,False
11695619,75753556,1,1,False,True,False
11695619,7691631,1,1,False,True,False
11695619,832680,105,105,False,True,False
11695619,8626555,2,2,False,True,False
124315604,124315604,6,6,True,True,True
125234630,116995448,5,5,False,True,False
125234630,125234630,304,304,True,True,True
125234630,156018,1,1,False,True,True
125234630,259445878,1,1,False,True,False
125234630,500338009,1,1,False,True,False
125234630,619008516,1,1,False,True,False
125234630,628024350,2,2,False,True,False
125234630,90299507,5,5,False,True,False
125824259,116585275,1,1,False,True,False
125824259,125824259,661,661,True,True,True
125824259,142473200,1,1,False,True,False
125824259,1512899,1,1,False,True,False
125824259,164999650,1,1,False,True,False
125824259,16563587,1,1,False,True,True
125824259,16740838,1,1,False,True,False
125824259,169454043,1,1,False,True,False
125824259,177210627,1,1,False,True,False
125824259,189447606,1,1,False,True,False
125824259,2056549,7,7,False,True,False
125824259,222501873,1,1,False,True,False
