source_project_id,target_project_id,src_entity_id,src_entity_type,tar_entity_id,tar_entity_type,event_id,event_type,event_time,relation_label_repr,source_evidence_file
41986369,41986369,P_41986369.12200204656,Push,I_41986369#40351,Issue,26266231561,PushEvent,2023-01-06 12:49:35,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12200204656,Push,PR_41986369#40238,PullRequest,26266231561,PushEvent,2023-01-06 12:49:35,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12200204656,Push,I_41986369#40239,Issue,26266231561,PushEvent,2023-01-06 12:49:35,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12201884969,Push,PR_41986369#40367,PullRequest,26269576696,PushEvent,2023-01-06 15:43:30,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12219226063,Push,PR_41986369#40402,PullRequest,26298801305,PushEvent,2023-01-09 05:18:34,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12184347268,Push,PR_41986369#40190,PullRequest,26234129162,PushEvent,2023-01-05 04:55:58,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12184347268,Push,I_41986369#40183,Issue,26234129162,PushEvent,2023-01-05 04:55:58,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12184347268,Push,PR_41986369#40052,PullRequest,26234129162,PushEvent,2023-01-05 04:55:58,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12184347268,Push,I_41986369#40189,Issue,26234129162,PushEvent,2023-01-05 04:55:58,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12184347268,Push,PR_41986369#35625,PullRequest,26234129162,PushEvent,2023-01-05 04:55:58,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12184347268,Push,I_41986369#35624,Issue,26234129162,PushEvent,2023-01-05 04:55:58,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12184347268,Push,PR_41986369#40197,PullRequest,26234129162,PushEvent,2023-01-05 04:55:58,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12184347268,Push,I_41986369#40194,Issue,26234129162,PushEvent,2023-01-05 04:55:58,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12184347268,Push,PR_41986369#40175,PullRequest,26234129162,PushEvent,2023-01-05 04:55:58,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12184347268,Push,I_41986369#40191,Issue,26234129162,PushEvent,2023-01-05 04:55:58,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12184347268,Push,PR_41986369#40210,PullRequest,26234129162,PushEvent,2023-01-05 04:55:58,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12184347268,Push,PR_41986369#40156,PullRequest,26234129162,PushEvent,2023-01-05 04:55:58,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12184347268,Push,I_41986369#40155,Issue,26234129162,PushEvent,2023-01-05 04:55:58,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
