repo_id,repo_name,repo_name_used,i_pr_rec_cnt,repo_created_at,category_label,activity_count,evidence_filename,evidence_available,evidence_path,seed_boundary_reason
266515876,armink/FlashDB,armink/FlashDB,298,2020-05-24T10:15:56Z,Key-value,298,armink_FlashDB_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/armink_FlashDB_2023.csv,activity_threshold_and_frozen_evidence_available
4407129,postgis/postgis,postgis/postgis,292,2012-05-22T13:31:25Z,Spatial,292,postgis_postgis_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/postgis_postgis_2023.csv,activity_threshold_and_frozen_evidence_available
606125384,paypal/junodb,paypal/junodb,287,2023-02-24T16:52:02Z,Key-value,287,paypal_junodb_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/paypal_junodb_2023.csv,activity_threshold_and_frozen_evidence_available
298920362,oracle/nosql-java-sdk,oracle/nosql-java-sdk,285,2020-09-27T00:05:54Z,"Key-value,Document",285,oracle_nosql-java-sdk_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/oracle_nosql-java-sdk_2023.csv,activity_threshold_and_frozen_evidence_available
22475123,amark/gun,amark/gun,282,2014-07-31T15:52:10Z,Graph,282,amark_gun_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/amark_gun_2023.csv,activity_threshold_and_frozen_evidence_available
270858421,juji-io/datalevin,juji-io/datalevin,275,2020-06-08T23:53:52Z,Document,275,juji-io_datalevin_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/juji-io_datalevin_2023.csv,activity_threshold_and_frozen_evidence_available
454981666,streamnative/oxia,streamnative/oxia,269,2022-02-03T00:28:48Z,Key-value,269,streamnative_oxia_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/streamnative_oxia_2023.csv,activity_threshold_and_frozen_evidence_available
443220240,tinyplex/tinybase,tinyplex/tinybase,241,2021-12-31T01:06:00Z,Relational,241,tinyplex_tinybase_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/tinyplex_tinybase_2023.csv,activity_threshold_and_frozen_evidence_available
55072677,semi-technologies/weaviate,semi-technologies/weaviate,239,2016-03-30T15:03:17Z,Vector,239,semi-technologies_weaviate_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/semi-technologies_weaviate_2023.csv,activity_threshold_and_frozen_evidence_available
22631422,Netflix/atlas,Netflix/atlas,227,2014-08-05T05:23:04Z,,227,Netflix_atlas_2023.csv,False,,candidate_missing_frozen_evidence
53171300,tidwall/tile38,tidwall/tile38,225,2016-03-04T23:07:44Z,,225,tidwall_tile38_2023.csv,False,,candidate_missing_frozen_evidence
453191009,ostafen/clover,ostafen/clover,218,2022-01-28T19:25:23Z,Document,218,ostafen_clover_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/ostafen_clover_2023.csv,activity_threshold_and_frozen_evidence_available
16189524,OpenNMS/newts,OpenNMS/newts,200,2014-01-23T23:39:27Z,Time Series,200,OpenNMS_newts_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/OpenNMS_newts_2023.csv,activity_threshold_and_frozen_evidence_available
19271154,JetBrains/xodus,JetBrains/xodus,199,2014-04-29T09:36:04Z,Document,199,JetBrains_xodus_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/JetBrains_xodus_2023.csv,activity_threshold_and_frozen_evidence_available
574694308,RhizomeDB/rs-rhizome,RhizomeDB/rs-rhizome,198,2022-12-05T21:55:16Z,Relational,198,RhizomeDB_rs-rhizome_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/RhizomeDB_rs-rhizome_2023.csv,activity_threshold_and_frozen_evidence_available
23405758,google/leveldb,google/leveldb,187,2014-08-27T21:17:52Z,Key-value,187,google_leveldb_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/google_leveldb_2023.csv,activity_threshold_and_frozen_evidence_available
496505424,apache/incubator-horaedb,apache/incubator-horaedb,184,2022-05-26T06:22:14Z,Relational,184,apache_incubator-horaedb_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_incubator-horaedb_2023.csv,activity_threshold_and_frozen_evidence_available
21985130,OpenHFT/Chronicle-Map,OpenHFT/Chronicle-Map,181,2014-07-18T15:33:57Z,Key-value,181,OpenHFT_Chronicle-Map_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/OpenHFT_Chronicle-Map_2023.csv,activity_threshold_and_frozen_evidence_available
6452529,rethinkdb/rethinkdb,rethinkdb/rethinkdb,178,2012-10-30T05:37:47Z,Document,178,rethinkdb_rethinkdb_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/rethinkdb_rethinkdb_2023.csv,activity_threshold_and_frozen_evidence_available
90541149,heavyai/heavydb,heavyai/heavydb,174,2017-05-07T15:07:56Z,Relational,174,heavyai_heavydb_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/heavyai_heavydb_2023.csv,activity_threshold_and_frozen_evidence_available
206686299,rayokota/kareldb,rayokota/kareldb,173,2019-09-06T01:17:24Z,Relational,173,rayokota_kareldb_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/rayokota_kareldb_2023.csv,activity_threshold_and_frozen_evidence_available
166387176,polypheny/Polypheny-DB,polypheny/Polypheny-DB,170,2019-01-18T10:24:15Z,"Relational,Document,Graph",170,polypheny_Polypheny-DB_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/polypheny_Polypheny-DB_2023.csv,activity_threshold_and_frozen_evidence_available
642912355,awa-ai/awadb,awa-ai/awadb,170,2023-05-19T16:22:02Z,"Document,Vector",170,awa-ai_awadb_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/awa-ai_awadb_2023.csv,activity_threshold_and_frozen_evidence_available
186332888,vearch/vearch,vearch/vearch,168,2019-05-13T02:37:31Z,"Document,Vector",168,vearch_vearch_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/vearch_vearch_2023.csv,activity_threshold_and_frozen_evidence_available
349627612,khonsulabs/bonsaidb,khonsulabs/bonsaidb,164,2021-03-20T04:35:24Z,Key-value,164,khonsulabs_bonsaidb_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/khonsulabs_bonsaidb_2023.csv,activity_threshold_and_frozen_evidence_available
387622288,elliotchance/vsql,elliotchance/vsql,162,2021-07-19T23:55:45Z,Relational,162,elliotchance_vsql_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/elliotchance_vsql_2023.csv,activity_threshold_and_frozen_evidence_available
791522,basho/riak_kv,basho/riak_kv,159,2010-07-22T17:27:35Z,Key-value,159,basho_riak_kv_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/basho_riak_kv_2023.csv,activity_threshold_and_frozen_evidence_available
3766330,pentaho/mondrian,pentaho/mondrian,145,2012-03-19T17:03:39Z,Relational,145,pentaho_mondrian_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/pentaho_mondrian_2023.csv,activity_threshold_and_frozen_evidence_available
49401416,spacejam/sled,spacejam/sled,145,2016-01-11T04:11:30Z,Key-value,145,spacejam_sled_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/spacejam_sled_2023.csv,activity_threshold_and_frozen_evidence_available
73235061,rayokota/hgraphdb,rayokota/hgraphdb,144,2016-11-08T23:05:08Z,Graph,144,rayokota_hgraphdb_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/rayokota_hgraphdb_2023.csv,activity_threshold_and_frozen_evidence_available
